engine_name,setting_label,qps_target,test_duration_sec,total_requests,completed_requests,failed_requests,success_rate,achieved_requests_per_sec,avg_latency_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_output_tokens,avg_tokens_per_sec
vllm_a100,default_output,1,60,60,60,0,1.0,1.0052320766198792,0.6758389085531235,0.6858787080273032,0.692540368065238,0.9609330745600148,61.95,92.05713696272925
vllm_a100,default_output,2,60,120,120,0,1.0,1.9933717194068965,0.6788522752622763,0.7000575615093112,0.7050307327881455,0.7064654231257737,61.95,90.96786903417257
vllm_a100,default_output,5,60,300,300,0,1.0,4.959097426763377,0.678543124999851,0.6993153700605035,0.7044734725728631,0.7065885816700757,61.95,91.04333594834286
vllm_a100,default_output,10,60,600,600,0,1.0,9.899924618269791,0.7009117763737838,0.7221836056560278,0.7277918823994697,0.730303483325988,61.95,88.10746278859996
vllm_a100,default_output,15,60,900,900,0,1.0,14.840088758103034,0.7171199274828864,0.738233644515276,0.7515987729653716,0.7538207936100662,61.95,86.14766678848142
vllm_a100,default_output,20,60,1200,1200,0,1.0,19.779428901897194,0.7187537118978798,0.7407688312232494,0.7460752423852682,0.7489254301786423,61.95,85.95230135054199
vllm_a100,default_output,25,60,1500,1500,0,1.0,24.71611138737337,0.728139984216541,0.7497069695964456,0.7627478749491274,0.7676685494184494,61.95,84.8582475307847
vllm_a100,default_output,30,60,1800,1800,0,1.0,29.656031117045327,0.7366286953300651,0.7587595442309976,0.7663455837406218,0.7684642223268747,61.95,83.85803772460909
vllm_a100,default_output,40,60,2400,2400,0,1.0,39.532000114138725,0.7939325310181206,0.819045789539814,0.8250415542162954,0.826849767100066,61.95,77.83222592430162
vllm_a100,default_output,50,60,3000,3000,0,1.0,49.382409255283456,0.8649287464860826,0.8916545240208507,0.8994087181054056,0.9018522772938012,61.95,71.44438068044234
triton_trtllm_bs128_inflight,default_output,1,60,60,60,0,1.0,1.0051554377951455,0.6885003018503387,0.6880738362669945,0.6913477608934044,0.6931831159256399,63.95,92.88349242121843
triton_trtllm_bs128_inflight,default_output,2,60,120,120,0,1.0,1.9933228919056076,0.6979458865088721,0.6976533494889736,0.7031556239351631,0.7045210632495582,63.95,91.62826595704064
triton_trtllm_bs128_inflight,default_output,5,60,300,300,0,1.0,4.95825174453917,0.7272120500480135,0.7274480694904923,0.7331199577078223,0.7355035913735628,63.95,87.94153397842864
triton_trtllm_bs128_inflight,default_output,10,60,600,600,0,1.0,9.893829573280934,0.7684119169631352,0.7682188097387552,0.774047604482621,0.7753419732674957,63.95,83.22593964489805
triton_trtllm_bs128_inflight,default_output,15,60,900,900,0,1.0,14.831326399088717,0.8022723550639219,0.8029392035678029,0.8084234934300184,0.8100056986324489,63.95,79.71417583262694
triton_trtllm_bs128_inflight,default_output,20,60,1200,1200,0,1.0,19.76613403712971,0.8176696074583257,0.8176686046645045,0.8263444925658404,0.827689572852105,63.95,78.21413893377428
triton_trtllm_bs128_inflight,default_output,25,60,1500,1500,0,1.0,24.700706049385573,0.8458795841696362,0.8462823899462819,0.8520005819387734,0.8534866845607757,63.95,75.60637996874071
triton_trtllm_bs128_inflight,default_output,30,60,1800,1800,0,1.0,29.63270763849748,0.8754159445988221,0.8760527046397328,0.8823928156867623,0.8842833062633871,63.95,73.05759207654327
triton_trtllm_bs128_inflight,default_output,40,60,2400,2400,0,1.0,39.4923927199425,0.9770749551639892,0.9791449969634414,0.9860809300094844,0.98859299082309,63.95,65.46662016107933
triton_trtllm_bs128_inflight,default_output,50,60,3000,3000,0,1.0,49.33344223385584,1.0630790230054408,1.0641175992786884,1.0733941544778645,1.0754871797189116,63.95,60.17600718837212
