engine_name,qps_target,request_index,prompt_id,category,send_timestamp_unix,response_timestamp_unix,latency_sec,success,error_message,finish_reason,input_token_count,output_token_count,prompt_text,generated_only_text
triton_trtllm,1,0,p1,short_qa,1777268419.5550141,1777268420.2502844,0.6857135221362114,True,,,7,19,What is the capital of France?,"

e\views.@1\views..................

个百分

2.....................1

月

.........."
triton_trtllm,1,1,p2,short_qa,1777268420.554713,1777268421.244175,0.685300312936306,True,,,10,28,Explain what a GPU does in simple words.,".,

u %[1 spécifique.,.

.downcase.1 });



e textDecoration.,.....1 baiser........1....................1.1.1...."
triton_trtllm,1,2,p3,summarization,1777268421.5546942,1777268422.2545297,0.6821775957942009,True,,,28,52,"Summarize this in 2 sentences: Machine learning systems often face bottlenecks in data loading, model serving, and hardware utilization.",".).

eña1.2.)))

 (!((1.2.2.11.1.1.1.1.1.

月

.1.1.

.1.

.1.

.1.1.

.1.1.1.

"
triton_trtllm,1,3,p4,summarization,1777268422.554678,1777268423.2403953,0.6825050041079521,True,,,30,56,"Summarize this paragraph: NVIDIA develops GPUs, software platforms, and AI infrastructure used in machine learning, inference, robotics, and high-performance computing.","in tô.

eña

eña

eña

复工复

1 spécifique.2月2月.

,月2月1.

,月2月1踔

22月,.

2月12月2月2月12.

2月

2.

2.

1"
triton_trtllm,1,4,p5,coding,1777268423.5547175,1777268424.2417817,0.6826507896184921,True,,,13,17,Write a Python function to check if a string is a palindrome.,"...,..............1................2.2.....2.2.........2.....2.."
triton_trtllm,1,5,p6,coding,1777268424.5547218,1777268425.2386262,0.6798633486032486,True,,,9,61,Write Python code to reverse a linked list.,",月踔.Locale

 .u.Disclaimer0 Erotic

eña1 salarié1 helicopt汆1监听页面..2 Interracial.2⚗.0
 Unsure[""$

 meilleurs. arrang1ToPoint@

1监听页面AAAAAAAA1 REGARD =>$

 Dios. FixedUpdate.踔..2 strugg2|unique%X.2 .'</1	."
triton_trtllm,1,6,p7,reasoning,1777268425.554696,1777268426.2421706,0.6837293729186058,True,,,21,22,"If a train travels 60 miles in 1.5 hours, what is its average speed?","..a tô................

.

.....1.

.....1........1.....1.1....1..

.."
triton_trtllm,1,7,p8,reasoning,1777268426.5546925,1777268427.2403467,0.6831400841474533,True,,,27,15,A batch job takes 12 minutes on 1 GPU and 4 minutes on 4 GPUs. What is the speedup?,......................1........................1.......1.2.1.2.1
triton_trtllm,1,8,p9,long_context,1777268427.5546834,1777268428.2425287,0.6850441694259644,True,,,60,52,"In machine learning inference systems, throughput measures how many requests or tokens can be processed in a given time, while latency measures how long a single request takes to complete. Engineers often face tradeoffs between throughput and latency, especially under concurrent workloads. Explain the difference between throughput and latency in simple terms.",".......

月

月

月, 	 

eña.

eña

eña

HAND

HAND

olatile.1踔 tô.

SENSOR.1.1踔工作作风.

eña

eña

ACHINE

 reperc1 tô.

eña

ibold,.

 ++)
.2."
triton_trtllm,1,9,p10,long_context,1777268428.5546896,1777268429.244586,0.6855055242776871,True,,,41,64,"Large language models are often deployed using inference servers that support batching, caching, and optimized execution backends. These choices affect memory usage, latency, and cost. Explain why benchmarking different serving stacks matters.",",月2ir Aç.2ir Aç11\views

娘.2 enthus1版权归原1 nâ.1 IonicPage(ViewGroup2\views slik1assed.220 enthus1assed.20$__.210}());
.1\views.1111111111111."
triton_trtllm,1,10,p11,short_qa,1777268429.5546818,1777268430.2379618,0.6795460134744644,True,,,10,24,What is the difference between RAM and VRAM?,",.,.,.1岙.1 baiser.1u\1.1........1.

月

.............................

..."
triton_trtllm,1,11,p12,coding,1777268430.5546966,1777268431.2386763,0.6808223724365234,True,,,10,32,Write a Python function that merges two sorted arrays.,".d <?=$.

 the..

 tô.

踔 tô..

踔踔in9 Wäh.........

踔牢记使命 consequat

 tô.

踔荜牢记使命.LinkedList).............

2....."
triton_trtllm,1,12,p13,reasoning,1777268431.5546806,1777268432.2602122,0.6869021356105804,True,,,22,53,"If latency drops from 200 ms to 120 ms, what is the percentage reduction?","......222.,.,.1.1 baiser.,1.1.1.1.1.11 baiser.1.1.1.1.1.1.1.

.1.1.

.1.1.1.

."
triton_trtllm,1,13,p14,summarization,1777268432.5546873,1777268433.2445557,0.6858693286776543,True,,,19,38,Summarize this in one sentence: Containerization helps package applications and dependencies consistently across environments.,"))

月,

,

,

,

.,

.2.

.2.

.

.2.

...,

.

.,

2.

2.2.

.

.

.,

..

2.

..,."
